ID_Odoo;SKU_Novo;EAN;Cor;Tamanho;Quantidade;Nome_Variante
__export__.product_product_595_02cffe92;PJO-VEA-PEQ-K1;7,89437E+12;Verde Água;Pequeno;1 unidade;Porta Joias (Verde Água / Pequeno / 1 unidade)
__export__.product_product_596_76bfd35e;PJO-VEA-PEQ-K3;7,89728E+12;Verde Água;Pequeno;Kit 3;Porta Joias (Verde Água / Pequeno / Kit 3)
__export__.product_product_597_1c538ad4;PJO-VEA-PEQ-K6;7,89816E+12;Verde Água;Pequeno;Kit 6;Porta Joias (Verde Água / Pequeno / Kit 6)
__export__.product_product_598_75efe290;PJO-VEA-PEQ-K9;7,89414E+12;Verde Água;Pequeno;Kit 9;Porta Joias (Verde Água / Pequeno / Kit 9)
__export__.product_product_599_41afcda0;PJO-VEA-PEQ-K12;7,89689E+12;Verde Água;Pequeno;Kit 12;Porta Joias (Verde Água / Pequeno / Kit 12)
__export__.product_product_600_f240e290;PJO-VEA-PEQ-K15;7,89689E+12;Verde Água;Pequeno;Kit 15;Porta Joias (Verde Água / Pequeno / Kit 15)
__export__.product_product_601_c99403cf;PJO-VEA-MED-K1;7,89185E+12;Verde Água;Médio;1 unidade;Porta Joias (Verde Água / Médio / 1 unidade)
__export__.product_product_602_37ca750e;PJO-VEA-MED-K3;7,89893E+12;Verde Água;Médio;Kit 3;Porta Joias (Verde Água / Médio / Kit 3)
__export__.product_product_603_b3831f9c;PJO-VEA-MED-K6;7,89539E+12;Verde Água;Médio;Kit 6;Porta Joias (Verde Água / Médio / Kit 6)
__export__.product_product_604_3f5d94f5;PJO-VEA-MED-K9;7,89827E+12;Verde Água;Médio;Kit 9;Porta Joias (Verde Água / Médio / Kit 9)
__export__.product_product_605_edad36f2;PJO-VEA-MED-K12;7,89583E+12;Verde Água;Médio;Kit 12;Porta Joias (Verde Água / Médio / Kit 12)
__export__.product_product_606_802118bb;PJO-VEA-MED-K15;7,891E+12;Verde Água;Médio;Kit 15;Porta Joias (Verde Água / Médio / Kit 15)
__export__.product_product_607_c77a53d4;PJO-PRE-PEQ-K1;7,89419E+12;Preto;Pequeno;1 unidade;Porta Joias (Preto / Pequeno / 1 unidade)
__export__.product_product_608_c14ffd97;PJO-PRE-PEQ-K3;7,89808E+12;Preto;Pequeno;Kit 3;Porta Joias (Preto / Pequeno / Kit 3)
__export__.product_product_609_28c28a9c;PJO-PRE-PEQ-K6;7,89892E+12;Preto;Pequeno;Kit 6;Porta Joias (Preto / Pequeno / Kit 6)
__export__.product_product_610_f4792c1a;PJO-PRE-PEQ-K9;7,89748E+12;Preto;Pequeno;Kit 9;Porta Joias (Preto / Pequeno / Kit 9)
__export__.product_product_611_a12ab4b6;PJO-PRE-PEQ-K12;7,89982E+12;Preto;Pequeno;Kit 12;Porta Joias (Preto / Pequeno / Kit 12)
__export__.product_product_612_bc9e66e8;PJO-PRE-PEQ-K15;7,89946E+12;Preto;Pequeno;Kit 15;Porta Joias (Preto / Pequeno / Kit 15)
__export__.product_product_613_1e098225;PJO-PRE-MED-K1;7,89885E+12;Preto;Médio;1 unidade;Porta Joias (Preto / Médio / 1 unidade)
__export__.product_product_614_a2e39a6a;PJO-PRE-MED-K3;7,89434E+12;Preto;Médio;Kit 3;Porta Joias (Preto / Médio / Kit 3)
__export__.product_product_615_b9734912;PJO-PRE-MED-K6;7,89765E+12;Preto;Médio;Kit 6;Porta Joias (Preto / Médio / Kit 6)
__export__.product_product_616_35548850;PJO-PRE-MED-K9;7,89067E+12;Preto;Médio;Kit 9;Porta Joias (Preto / Médio / Kit 9)
__export__.product_product_617_46ec58a0;PJO-PRE-MED-K12;7,89831E+12;Preto;Médio;Kit 12;Porta Joias (Preto / Médio / Kit 12)
__export__.product_product_618_74cffa1e;PJO-PRE-MED-K15;7,89701E+12;Preto;Médio;Kit 15;Porta Joias (Preto / Médio / Kit 15)
__export__.product_product_619_91511d40;PJO-BRD-PEQ-K1;7,89484E+12;Branco Dental;Pequeno;1 unidade;Porta Joias (Branco Dental / Pequeno / 1 unidade)
__export__.product_product_620_db32fbb1;PJO-BRD-PEQ-K3;7,89407E+12;Branco Dental;Pequeno;Kit 3;Porta Joias (Branco Dental / Pequeno / Kit 3)
__export__.product_product_621_4cc18dfd;PJO-BRD-PEQ-K6;7,8939E+12;Branco Dental;Pequeno;Kit 6;Porta Joias (Branco Dental / Pequeno / Kit 6)
__export__.product_product_622_e63dd7eb;PJO-BRD-PEQ-K9;7,89676E+12;Branco Dental;Pequeno;Kit 9;Porta Joias (Branco Dental / Pequeno / Kit 9)
__export__.product_product_623_5055114a;PJO-BRD-PEQ-K12;7,89783E+12;Branco Dental;Pequeno;Kit 12;Porta Joias (Branco Dental / Pequeno / Kit 12)
__export__.product_product_624_472accbc;PJO-BRD-PEQ-K15;7,89132E+12;Branco Dental;Pequeno;Kit 15;Porta Joias (Branco Dental / Pequeno / Kit 15)
__export__.product_product_625_770a9881;PJO-BRD-MED-K1;7,89911E+12;Branco Dental;Médio;1 unidade;Porta Joias (Branco Dental / Médio / 1 unidade)
__export__.product_product_626_59f03583;PJO-BRD-MED-K3;7,89587E+12;Branco Dental;Médio;Kit 3;Porta Joias (Branco Dental / Médio / Kit 3)
__export__.product_product_627_c104c287;PJO-BRD-MED-K6;7,89479E+12;Branco Dental;Médio;Kit 6;Porta Joias (Branco Dental / Médio / Kit 6)
__export__.product_product_628_ff869c6e;PJO-BRD-MED-K9;7,89781E+12;Branco Dental;Médio;Kit 9;Porta Joias (Branco Dental / Médio / Kit 9)
__export__.product_product_629_afc9f3a0;PJO-BRD-MED-K12;7,89901E+12;Branco Dental;Médio;Kit 12;Porta Joias (Branco Dental / Médio / Kit 12)
__export__.product_product_630_3c6d87e9;PJO-BRD-MED-K15;7,89899E+12;Branco Dental;Médio;Kit 15;Porta Joias (Branco Dental / Médio / Kit 15)
__export__.product_product_631_e32208e3;PJO-PIN-PEQ-K1;7,89787E+12;Rosa Pink;Pequeno;1 unidade;Porta Joias (Rosa Pink / Pequeno / 1 unidade)
__export__.product_product_632_675e0ea5;PJO-PIN-PEQ-K3;7,89977E+12;Rosa Pink;Pequeno;Kit 3;Porta Joias (Rosa Pink / Pequeno / Kit 3)
__export__.product_product_633_694a84a9;PJO-PIN-PEQ-K6;7,89175E+12;Rosa Pink;Pequeno;Kit 6;Porta Joias (Rosa Pink / Pequeno / Kit 6)
__export__.product_product_634_73309133;PJO-PIN-PEQ-K9;7,89511E+12;Rosa Pink;Pequeno;Kit 9;Porta Joias (Rosa Pink / Pequeno / Kit 9)
__export__.product_product_635_571dfd27;PJO-PIN-PEQ-K12;7,89106E+12;Rosa Pink;Pequeno;Kit 12;Porta Joias (Rosa Pink / Pequeno / Kit 12)
__export__.product_product_636_188adc40;PJO-PIN-PEQ-K15;7,89673E+12;Rosa Pink;Pequeno;Kit 15;Porta Joias (Rosa Pink / Pequeno / Kit 15)
__export__.product_product_637_90389b7b;PJO-PIN-MED-K1;7,89808E+12;Rosa Pink;Médio;1 unidade;Porta Joias (Rosa Pink / Médio / 1 unidade)
__export__.product_product_638_4f979d69;PJO-PIN-MED-K3;7,89816E+12;Rosa Pink;Médio;Kit 3;Porta Joias (Rosa Pink / Médio / Kit 3)
__export__.product_product_639_0ce7d905;PJO-PIN-MED-K6;7,89803E+12;Rosa Pink;Médio;Kit 6;Porta Joias (Rosa Pink / Médio / Kit 6)
__export__.product_product_640_df5e281f;PJO-PIN-MED-K9;7,8947E+12;Rosa Pink;Médio;Kit 9;Porta Joias (Rosa Pink / Médio / Kit 9)
__export__.product_product_641_081b99d8;PJO-PIN-MED-K12;7,89738E+12;Rosa Pink;Médio;Kit 12;Porta Joias (Rosa Pink / Médio / Kit 12)
__export__.product_product_642_171e6d54;PJO-PIN-MED-K15;7,89749E+12;Rosa Pink;Médio;Kit 15;Porta Joias (Rosa Pink / Médio / Kit 15)
__export__.product_product_643_530d4a0c;PJO-RBB-PEQ-K1;7,89387E+12;Lilás;Pequeno;1 unidade;Porta Joias (Lilás / Pequeno / 1 unidade)
__export__.product_product_644_1c45b397;PJO-RBB-PEQ-K3;7,89888E+12;Lilás;Pequeno;Kit 3;Porta Joias (Lilás / Pequeno / Kit 3)
__export__.product_product_645_432839b1;PJO-RBB-PEQ-K6;7,89097E+12;Lilás;Pequeno;Kit 6;Porta Joias (Lilás / Pequeno / Kit 6)
__export__.product_product_646_0b81e148;PJO-RBB-PEQ-K9;7,89622E+12;Lilás;Pequeno;Kit 9;Porta Joias (Lilás / Pequeno / Kit 9)
__export__.product_product_647_5f2ffd18;PJO-RBB-PEQ-K12;7,89023E+12;Lilás;Pequeno;Kit 12;Porta Joias (Lilás / Pequeno / Kit 12)
__export__.product_product_648_3f2d9227;PJO-RBB-PEQ-K15;7,89158E+12;Lilás;Pequeno;Kit 15;Porta Joias (Lilás / Pequeno / Kit 15)
__export__.product_product_649_0ea6f323;PJO-RBB-MED-K1;7,89652E+12;Lilás;Médio;1 unidade;Porta Joias (Lilás / Médio / 1 unidade)
__export__.product_product_650_3379ef05;PJO-RBB-MED-K3;7,89364E+12;Lilás;Médio;Kit 3;Porta Joias (Lilás / Médio / Kit 3)
__export__.product_product_651_5c5ca3ae;PJO-RBB-MED-K6;7,89966E+12;Lilás;Médio;Kit 6;Porta Joias (Lilás / Médio / Kit 6)
__export__.product_product_652_2c32fe35;PJO-RBB-MED-K9;7,89404E+12;Lilás;Médio;Kit 9;Porta Joias (Lilás / Médio / Kit 9)
__export__.product_product_653_7db3e06d;PJO-RBB-MED-K12;7,89981E+12;Lilás;Médio;Kit 12;Porta Joias (Lilás / Médio / Kit 12)
__export__.product_product_654_8fe5df31;PJO-RBB-MED-K15;7,89223E+12;Lilás;Médio;Kit 15;Porta Joias (Lilás / Médio / Kit 15)
__export__.product_product_655_18612237;PJO-VER-PEQ-K1;7,89384E+12;Vermelho;Pequeno;1 unidade;Porta Joias (Vermelho / Pequeno / 1 unidade)
__export__.product_product_656_f122595d;PJO-VER-PEQ-K3;7,89421E+12;Vermelho;Pequeno;Kit 3;Porta Joias (Vermelho / Pequeno / Kit 3)
__export__.product_product_657_e841ecaa;PJO-VER-PEQ-K6;7,89277E+12;Vermelho;Pequeno;Kit 6;Porta Joias (Vermelho / Pequeno / Kit 6)
__export__.product_product_658_ff546ba8;PJO-VER-PEQ-K9;7,89466E+12;Vermelho;Pequeno;Kit 9;Porta Joias (Vermelho / Pequeno / Kit 9)
__export__.product_product_659_f6e5cc3b;PJO-VER-PEQ-K12;7,89556E+12;Vermelho;Pequeno;Kit 12;Porta Joias (Vermelho / Pequeno / Kit 12)
__export__.product_product_660_3957b655;PJO-VER-PEQ-K15;7,8955E+12;Vermelho;Pequeno;Kit 15;Porta Joias (Vermelho / Pequeno / Kit 15)
__export__.product_product_661_47958c3d;PJO-VER-MED-K1;7,89518E+12;Vermelho;Médio;1 unidade;Porta Joias (Vermelho / Médio / 1 unidade)
__export__.product_product_662_51af552b;PJO-VER-MED-K3;7,89299E+12;Vermelho;Médio;Kit 3;Porta Joias (Vermelho / Médio / Kit 3)
__export__.product_product_663_ade34845;PJO-VER-MED-K6;7,89801E+12;Vermelho;Médio;Kit 6;Porta Joias (Vermelho / Médio / Kit 6)
__export__.product_product_664_2b89fab0;PJO-VER-MED-K9;7,89578E+12;Vermelho;Médio;Kit 9;Porta Joias (Vermelho / Médio / Kit 9)
__export__.product_product_665_ffc4f8da;PJO-VER-MED-K12;7,89008E+12;Vermelho;Médio;Kit 12;Porta Joias (Vermelho / Médio / Kit 12)
__export__.product_product_666_982dbb5a;PJO-VER-MED-K15;7,89506E+12;Vermelho;Médio;Kit 15;Porta Joias (Vermelho / Médio / Kit 15)
__export__.product_product_667_411d6091;PJO-LAR-PEQ-K1;7,89022E+12;Laranja;Pequeno;1 unidade;Porta Joias (Laranja / Pequeno / 1 unidade)
__export__.product_product_668_98737fe0;PJO-LAR-PEQ-K3;7,89682E+12;Laranja;Pequeno;Kit 3;Porta Joias (Laranja / Pequeno / Kit 3)
__export__.product_product_669_ca650cb4;PJO-LAR-PEQ-K6;7,89584E+12;Laranja;Pequeno;Kit 6;Porta Joias (Laranja / Pequeno / Kit 6)
__export__.product_product_670_a9c34ace;PJO-LAR-PEQ-K9;7,89564E+12;Laranja;Pequeno;Kit 9;Porta Joias (Laranja / Pequeno / Kit 9)
__export__.product_product_671_56698978;PJO-LAR-PEQ-K12;7,89281E+12;Laranja;Pequeno;Kit 12;Porta Joias (Laranja / Pequeno / Kit 12)
__export__.product_product_672_16a370bc;PJO-LAR-PEQ-K15;7,89989E+12;Laranja;Pequeno;Kit 15;Porta Joias (Laranja / Pequeno / Kit 15)
__export__.product_product_673_e1205836;PJO-LAR-MED-K1;7,89784E+12;Laranja;Médio;1 unidade;Porta Joias (Laranja / Médio / 1 unidade)
__export__.product_product_674_2ac275d5;PJO-LAR-MED-K3;7,89083E+12;Laranja;Médio;Kit 3;Porta Joias (Laranja / Médio / Kit 3)
__export__.product_product_675_2d348fef;PJO-LAR-MED-K6;7,89254E+12;Laranja;Médio;Kit 6;Porta Joias (Laranja / Médio / Kit 6)
__export__.product_product_676_2c236dc2;PJO-LAR-MED-K9;7,89357E+12;Laranja;Médio;Kit 9;Porta Joias (Laranja / Médio / Kit 9)
__export__.product_product_677_0d282d7a;PJO-LAR-MED-K12;7,89028E+12;Laranja;Médio;Kit 12;Porta Joias (Laranja / Médio / Kit 12)
__export__.product_product_678_5ffa3305;PJO-LAR-MED-K15;7,89711E+12;Laranja;Médio;Kit 15;Porta Joias (Laranja / Médio / Kit 15)
__export__.product_product_679_b5d93fb9;PJO-TRA-PEQ-K1;7,89841E+12;Translúcido;Pequeno;1 unidade;Porta Joias (Translúcido / Pequeno / 1 unidade)
__export__.product_product_680_3dad3e33;PJO-TRA-PEQ-K3;7,89018E+12;Translúcido;Pequeno;Kit 3;Porta Joias (Translúcido / Pequeno / Kit 3)
__export__.product_product_681_3370bcd5;PJO-TRA-PEQ-K6;7,89171E+12;Translúcido;Pequeno;Kit 6;Porta Joias (Translúcido / Pequeno / Kit 6)
__export__.product_product_682_e072e883;PJO-TRA-PEQ-K9;7,89455E+12;Translúcido;Pequeno;Kit 9;Porta Joias (Translúcido / Pequeno / Kit 9)
__export__.product_product_683_18e995d3;PJO-TRA-PEQ-K12;7,89247E+12;Translúcido;Pequeno;Kit 12;Porta Joias (Translúcido / Pequeno / Kit 12)
__export__.product_product_684_703febeb;PJO-TRA-PEQ-K15;7,89204E+12;Translúcido;Pequeno;Kit 15;Porta Joias (Translúcido / Pequeno / Kit 15)
__export__.product_product_685_a93ce7a0;PJO-TRA-MED-K1;7,89417E+12;Translúcido;Médio;1 unidade;Porta Joias (Translúcido / Médio / 1 unidade)
__export__.product_product_686_391cf04c;PJO-TRA-MED-K3;7,89399E+12;Translúcido;Médio;Kit 3;Porta Joias (Translúcido / Médio / Kit 3)
__export__.product_product_687_44cdf33b;PJO-TRA-MED-K6;7,89098E+12;Translúcido;Médio;Kit 6;Porta Joias (Translúcido / Médio / Kit 6)
__export__.product_product_688_2a1b5ce9;PJO-TRA-MED-K9;7,89739E+12;Translúcido;Médio;Kit 9;Porta Joias (Translúcido / Médio / Kit 9)
__export__.product_product_689_b38a19cc;PJO-TRA-MED-K12;7,89902E+12;Translúcido;Médio;Kit 12;Porta Joias (Translúcido / Médio / Kit 12)
__export__.product_product_690_e8ec5171;PJO-TRA-MED-K15;7,89162E+12;Translúcido;Médio;Kit 15;Porta Joias (Translúcido / Médio / Kit 15)
__export__.product_product_691_3ed367bf;PJO-ROX-PEQ-K1;7,89233E+12;Roxo;Pequeno;1 unidade;Porta Joias (Roxo / Pequeno / 1 unidade)
__export__.product_product_692_671c3e62;PJO-ROX-PEQ-K3;7,89774E+12;Roxo;Pequeno;Kit 3;Porta Joias (Roxo / Pequeno / Kit 3)
__export__.product_product_693_c0b0b0fb;PJO-ROX-PEQ-K6;7,89965E+12;Roxo;Pequeno;Kit 6;Porta Joias (Roxo / Pequeno / Kit 6)
__export__.product_product_694_96cb8c53;PJO-ROX-PEQ-K9;7,89256E+12;Roxo;Pequeno;Kit 9;Porta Joias (Roxo / Pequeno / Kit 9)
__export__.product_product_695_a351ec78;PJO-ROX-PEQ-K12;7,89186E+12;Roxo;Pequeno;Kit 12;Porta Joias (Roxo / Pequeno / Kit 12)
__export__.product_product_696_3ba67b32;PJO-ROX-PEQ-K15;7,89875E+12;Roxo;Pequeno;Kit 15;Porta Joias (Roxo / Pequeno / Kit 15)
__export__.product_product_697_b1709647;PJO-ROX-MED-K1;7,89958E+12;Roxo;Médio;1 unidade;Porta Joias (Roxo / Médio / 1 unidade)
__export__.product_product_698_9ec3ccd4;PJO-ROX-MED-K3;7,8965E+12;Roxo;Médio;Kit 3;Porta Joias (Roxo / Médio / Kit 3)
__export__.product_product_699_d9c722f2;PJO-ROX-MED-K6;7,89932E+12;Roxo;Médio;Kit 6;Porta Joias (Roxo / Médio / Kit 6)
__export__.product_product_700_e0ca4f1e;PJO-ROX-MED-K9;7,89448E+12;Roxo;Médio;Kit 9;Porta Joias (Roxo / Médio / Kit 9)
__export__.product_product_701_b3bee17c;PJO-ROX-MED-K12;7,8954E+12;Roxo;Médio;Kit 12;Porta Joias (Roxo / Médio / Kit 12)
__export__.product_product_702_b0ba80c3;PJO-ROX-MED-K15;7,89204E+12;Roxo;Médio;Kit 15;Porta Joias (Roxo / Médio / Kit 15)
